FechaControl,codigo_cliente,codigo_producto,Marca_gestion,tipo_gestion,Contacto,Acuerdo,Cumplimiento,# Gestiones,Franja horaria,Motivo de no gestiÃƒÂ³n,DiasMora,RDiasMora,SaldoCapital,Score,RScore,Nivel_Riesgo,numero_gestiones_pred,mejor_gestion_pred,fecha_inicio_proxima_gestion,DiasMoraMesSiguiente,RDiasMoraMesSiguiente,INDBYM,Fecha_Desembolso,Monto_Desembolsado,Departamento,Tipo_credito
7/1/2024,71726826,12296399190,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Tarde,Ausencia de datos,21,A. Al dia,60100.61595293725,968,E. >907 a 932,A. Riesgo Alto,5,SMS,9/17/2024,1,A. Al día,Buenos,6/5/2024,146033,Amazonas,Consumo
8/1/2024,48774213,14094826940,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,0,Noche,Ausencia de datos,0,A. Al dia,47228.63085383674,862,C. >875 a 882,B. Riesgo Medio,2,WHATSAPP,8/11/2024,0,C. 31 - 60 días,Malos,8/4/2024,88542,Guainía,Vivienda
6/1/2024,0,11500859588,No gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,14,Tarde,Ausencia de datos,0,A. Al dia,54029.44811780178,887,A. Hasta 843,B. Riesgo Medio,25,SMS,9/5/2024,0,A. Al día,Malos,6/29/2024,402790,Quindío,Consumo
8/1/2024,116221841,11911223237,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,1,A. Al dia,237153.9012074413,870,F. Mayor a 932,C. Riesgo Bajo,13,WHATSAPP,9/11/2024,37,A. Al día,Malos,3/18/2024,373854,Cauca,Consumo
8/1/2024,41056620,13300105351,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,0,Noche,Ausencia de datos,1,B. 1 - 30 dias,52336.07245108949,918,D. >882 a 907,B. Riesgo Medio,13,WHATSAPP,8/11/2024,0,A. Al día,Buenos,6/29/2024,291443,Guaviare,Comercial
7/1/2024,1050331330,10466816355,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,0,Tarde,Cliente no localizado,2,A. Al dia,99305.95765864626,809,D. >882 a 907,C. Riesgo Bajo,18,WHATSAPP,8/11/2024,2,A. Al día,Buenos,6/22/2024,165695,Valle del Cauca,Consumo
7/1/2024,1068375602,10474901135,No gestionado,EMAIL,Contacto,Acuerdo,Cumplimiento,1,Noche,Ausencia de datos,0,C. 31 - 60 dias,415947.0185933044,888,C. >875 a 882,B. Riesgo Medio,8,WHATSAPP,7/2/2024,4,A. Al día,Buenos,1/15/2024,227735,San Andrés y Providencia,Vivienda
8/1/2024,1093510821,13221065870,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,5,Mañana,Otros motivos,7,A. Al dia,118751.01656837312,844,C. >875 a 882,C. Riesgo Bajo,15,EMAIL,8/2/2024,13,A. Al día,Malos,5/11/2024,177507,Casanare,Consumo
6/1/2024,994237493,51646186510,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,1,Mañana,Ausencia de datos,0,A. Al dia,238914.4090460759,969,D. >882 a 907,A. Riesgo Alto,4,SMS,7/7/2024,0,A. Al día,Buenos,3/4/2024,358991,Boyacá,Comercial
7/1/2024,1025172691,10925432008,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,16,Tarde,Ausencia de datos,1,A. Al dia,166886.87755490904,888,F. Mayor a 932,A. Riesgo Alto,12,TEL,7/4/2024,0,A. Al día,Malos,6/29/2024,502722,Quindío,Vivienda
7/1/2024,53284955,13061003966,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,1,Tarde,Ausencia de datos,136,A. Al dia,141381.92194902562,593,F. Mayor a 932,B. Riesgo Medio,10,WHATSAPP,8/9/2024,4,D. Mayor a 60 días,Buenos,6/17/2024,89787,San Andrés y Providencia,Consumo
6/1/2024,53114495,10984268089,Gestionado,EMAIL,Contacto,Acuerdo,Cumplimiento,1,Tarde,Ausencia de datos,2,A. Al dia,39740.886935836366,973,F. Mayor a 932,B. Riesgo Medio,27,TEL,9/9/2024,18,A. Al día,Buenos,6/23/2024,227884,Meta,Vivienda
6/1/2024,0,12654570991,No gestionado,SMS,Contacto,Acuerdo,Cumplimiento,4,Tarde,Número no disponible,0,B. 1 - 30 dias,287056.14207703935,842,D. >124 a 164,A. Riesgo Alto,6,SMS,9/18/2024,0,D. Mayor a 60 días,Buenos,8/2/2024,281025,Vichada,Vivienda
6/1/2024,26933382,11136478479,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,0,A. Al dia,177537.8482040443,0,D. >124 a 164,B. Riesgo Medio,6,WHATSAPP,7/22/2024,0,A. Al día,Buenos,5/4/2024,215557,Córdoba,Comercial
8/1/2024,50835420,14938733202,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,9,Tarde,Ausencia de datos,206,A. Al dia,192763.5050011526,861,A. Hasta 843,A. Riesgo Alto,7,WHATSAPP,9/10/2024,0,A. Al día,Buenos,3/29/2024,169390,Santander,Vivienda
7/1/2024,28480496,13618010605,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,3,Mañana,Ausencia de datos,3,A. Al dia,447705.5791,80,B. >843 a 875,A. Riesgo Alto,11,WHATSAPP,7/20/2024,2,D. Mayor a 60 días,Buenos,7/17/2024,170791,Boyacá,Vivienda
6/1/2024,1027254453,10747595128,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,0,A. Al dia,285093.30622230534,934,C. >875 a 882,A. Riesgo Alto,20,EMAIL,8/19/2024,0,A. Al día,Buenos,2/21/2024,121568,Nariño,Vivienda
8/1/2024,58057657,12749252991,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,7,Tarde,Ausencia de datos,11,A. Al dia,302400.22009759094,772,C. >762 a 806,A. Riesgo Alto,13,TEL,9/10/2024,1,A. Al día,Buenos,6/11/2024,239847,Meta,Comercial
7/1/2024,13118419,13018163524,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,2,Noche,Cliente no localizado,3,B. 1 - 30 dias,88796.15239470436,629,C. >875 a 882,C. Riesgo Bajo,11,WHATSAPP,7/20/2024,3,A. Al día,Buenos,7/27/2024,143373,Atlántico,Vivienda
8/1/2024,86881815,11177991630,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,2,Noche,Ausencia de datos,24,D. Mayor a 60 dias,200021.67091863533,834,F. Mayor a 932,A. Riesgo Alto,8,WHATSAPP,8/10/2024,6,A. Al día,Buenos,5/10/2024,155220,Meta,Comercial
6/1/2024,1107027839,10774611346,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,7,Mañana,Otros motivos,1,A. Al dia,126742.1277135761,837,C. >875 a 882,C. Riesgo Bajo,9,WHATSAPP,8/14/2024,17,A. Al día,Malos,4/22/2024,379819,Bolívar,Consumo
6/1/2024,38811461,62448841249,Gestionado,SMS,Contacto,No acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,0,B. 1 - 30 dias,459796.9129618767,60,E. >907 a 932,B. Riesgo Medio,15,SMS,8/15/2024,0,A. Al día,Malos,5/11/2024,104892,Vichada,Vivienda
8/1/2024,3995252,14197862514,No gestionado,SMS,Contacto,Acuerdo,Cumplimiento,1,Mañana,Ausencia de datos,0,A. Al dia,256891.25409867885,804,F. Mayor a 932,A. Riesgo Alto,16,TEL,7/9/2024,0,A. Al día,Buenos,7/14/2024,133411,Cauca,Consumo
8/1/2024,61781955,12938005881,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,5,Tarde,Número no disponible,2,A. Al dia,89412.90408297018,900,B. >843 a 875,A. Riesgo Alto,16,SMS,9/3/2024,0,A. Al día,Malos,4/26/2024,361243,Valle del Cauca,Comercial
6/1/2024,979869418,9777262252,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,5,Noche,Otros motivos,0,A. Al dia,190864.7557,883,B. >843 a 875,A. Riesgo Alto,23,SMS,9/14/2024,1,B. 1 - 30 días,Buenos,6/21/2024,133659,Tolima,Comercial
7/1/2024,64943658,9521061940,Gestionado,TEL,No contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,4,A. Al dia,52044.50102461855,995,F. Mayor a 932,B. Riesgo Medio,14,EMAIL,9/14/2024,3,A. Al día,Buenos,8/28/2024,465818,Casanare,Consumo
7/1/2024,1075177289,10933261729,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Cliente no localizado,3,A. Al dia,47435.79359351439,898,D. >882 a 907,A. Riesgo Alto,12,SMS,7/21/2024,2,A. Al día,Buenos,3/6/2024,123457,Cundinamarca,Vivienda
7/1/2024,1068608248,13375777868,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,2,Noche,Ausencia de datos,0,A. Al dia,190472.1527779774,47,F. Mayor a 932,B. Riesgo Alto,24,SMS,7/19/2024,56,A. Al día,Buenos,2/18/2024,294523,Antioquia,Consumo
7/1/2024,987834121,14046715287,No gestionado,SMS,Contacto,Acuerdo,Cumplimiento,5,Noche,Ausencia de datos,2,A. Al dia,110004.87828143463,888,C. >875 a 882,A. Riesgo Alto,3,SMS,7/19/2024,128,A. Al día,Buenos,7/8/2024,475988,Amazonas,Vivienda
7/1/2024,30975980,10793730817,No gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,19,Mañana,Ausencia de datos,0,B. 1 - 30 dias,364259.1186,805,F. Mayor a 932,A. Riesgo Muy Alto,12,TEL,9/2/2024,6,A. Al día,Buenos,6/23/2024,243420,Chocó,Vivienda
8/1/2024,0,12442448118,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,0,D. Mayor a 60 dias,52522.61184080735,957,C. >875 a 882,B. Riesgo Medio,10,TEL,8/20/2024,0,A. Al día,Buenos,6/21/2024,183333,Atlántico,Comercial
6/1/2024,1061215085,10629142198,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,12,Mañana,Ausencia de datos,1,D. Mayor a 60 dias,87045.10490347559,880,B. >672 a 762,A. Riesgo Alto,12,SMS,7/7/2024,0,A. Al día,Buenos,5/25/2024,197958,Antioquia,Comercial
8/1/2024,977304720,13768572160,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,0,Tarde,Número no disponible,0,A. Al dia,67741.66627,928,E. >907 a 932,C. Riesgo Bajo,12,SMS,8/5/2024,1,C. 31 - 60 días,Buenos,8/12/2024,262950,Norte de Santander,Consumo
7/1/2024,1163047818,13396784870,Gestionado,WHATSAPP,Contacto,Acuerdo,No cumplimiento,3,Tarde,Ausencia de datos,3,A. Al dia,58957.72791752367,877,B. >42 a 82,C. Riesgo Bajo,8,EMAIL,7/5/2024,4,B. 1 - 30 días,Buenos,7/18/2024,66561,Cundinamarca,Comercial
6/1/2024,1084213732,11969156089,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,12,Noche,Número no disponible,0,B. 1 - 30 dias,74822.22145150695,943,E. >907 a 932,C. Riesgo Bajo,14,SMS,7/20/2024,44,A. Al día,Buenos,7/26/2024,150407,San Andrés y Providencia,Comercial
6/1/2024,46829761,90856693753,Gestionado,EMAIL,Contacto,Acuerdo,No cumplimiento,1,Mañana,Otros motivos,0,A. Al dia,217278.40730902035,902,D. >882 a 907,C. Riesgo Bajo,16,WHATSAPP,8/12/2024,3,D. Mayor a 60 días,Buenos,6/25/2024,67061,Risaralda,Vivienda
6/1/2024,8993841,10897394576,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,6,Noche,Ausencia de datos,0,A. Al dia,90621.99005,745,B. >672 a 762,B. Riesgo Medio,21,SMS,8/6/2024,1,B. 1 - 30 días,Buenos,8/24/2024,206818,Meta,Vivienda
7/1/2024,106410330,10269744560,No gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Noche,Número no disponible,1,D. Mayor a 60 dias,83781.20340094686,888,E. >907 a 932,B. Riesgo Alto,2,SMS,9/17/2024,0,C. 31 - 60 días,Buenos,8/28/2024,381853,Bolívar,Comercial
6/1/2024,1093555118,12403929543,Gestionado,EMAIL,Contacto,Acuerdo,Cumplimiento,4,Tarde,Número no disponible,2,D. Mayor a 60 dias,114475.30700713232,861,F. Mayor a 238,C. Riesgo Bajo,23,SMS,8/2/2024,4,A. Al día,Buenos,5/21/2024,232518,Risaralda,Vivienda
6/1/2024,1035552790,13161042981,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,2,Tarde,Ausencia de datos,0,A. Al dia,49461.76167194903,79,D. >882 a 907,A. Riesgo Alto,4,WHATSAPP,9/11/2024,186,D. Mayor a 60 días,Buenos,5/2/2024,198035,Risaralda,Consumo
7/1/2024,1154593802,12341337781,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,1,Noche,Número no disponible,114,A. Al dia,103047.89471561824,912,B. >843 a 875,A. Riesgo Alto,9,SMS,9/15/2024,0,A. Al día,Buenos,6/6/2024,233974,Cesar,Comercial
8/1/2024,1114889144,10245526619,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,0,Tarde,Otros motivos,0,A. Al dia,394586.0688516981,877,F. Mayor a 932,C. Riesgo Bajo,4,WHATSAPP,9/12/2024,0,A. Al día,Buenos,8/2/2024,162993,Chocó,Comercial
6/1/2024,61692858,12483723645,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,4,Noche,Ausencia de datos,0,A. Al dia,202967.89580921768,858,B. >843 a 875,C. Riesgo Bajo,3,WHATSAPP,9/13/2024,5,A. Al día,Buenos,7/1/2024,186017,Chocó,Vivienda
7/1/2024,32376970,11536458602,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,18,Mañana,Ausencia de datos,4,A. Al dia,427959.3920038515,776,A. Hasta 843,C. Riesgo Bajo,3,WHATSAPP,8/5/2024,4,A. Al día,Buenos,7/4/2024,121366,Antioquia,Vivienda
7/1/2024,992665202,12890649859,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Número no disponible,3,A. Al dia,174745.58704218667,892,A. Hasta 843,C. Riesgo Bajo,8,EMAIL,7/16/2024,3,A. Al día,Buenos,6/26/2024,205055,Antioquia,Vivienda
6/1/2024,14160850,10061750190,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,2,Mañana,Ausencia de datos,2,D. Mayor a 60 dias,102726.58050170745,852,A. Hasta 843,C. Riesgo Bajo,14,SMS,8/15/2024,0,A. Al día,Buenos,4/11/2024,214608,Putumayo,Vivienda
6/1/2024,78185100,12606117783,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,4,Mañana,Número no disponible,0,A. Al dia,509692.32534734375,891,F. Mayor a 932,A. Riesgo Alto,4,SMS,7/12/2024,1,A. Al día,Buenos,5/1/2024,330622,Amazonas,Consumo
6/1/2024,79818609,10432158769,No gestionado,EMAIL,Contacto,Acuerdo,Cumplimiento,1,Tarde,Ausencia de datos,1,A. Al dia,420761.9711859728,880,A. Hasta 843,C. Riesgo Medio,14,SMS,8/20/2024,0,A. Al día,Buenos,6/30/2024,263347,Chocó,Consumo
7/1/2024,35037641,10636865168,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Noche,Otros motivos,2,A. Al dia,288610.9159241054,844,C. >762 a 806,B. Riesgo Medio,27,TEL,7/15/2024,0,A. Al día,Buenos,5/22/2024,222213,Arauca,Vivienda
7/1/2024,44936194,11564511684,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,11,Mañana,Cliente no localizado,2,A. Al dia,250788.26917973545,901,B. >42 a 82,C. Riesgo Bajo,23,SMS,9/13/2024,4,A. Al día,Buenos,5/20/2024,217184,Cauca,Vivienda
7/1/2024,1021297761,12048377048,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,0,A. Al dia,222848.3306731344,602,E. >907 a 932,B. Riesgo Medio,8,WHATSAPP,7/2/2024,3,A. Al día,Buenos,12/24/2023,131734,Cauca,Vivienda
8/1/2024,71334229,11546431869,Gestionado,SMS,No contacto,Acuerdo,Cumplimiento,4,Mañana,Ausencia de datos,6,A. Al dia,161465.4667214606,945,A. Hasta 214,A. Riesgo Alto,12,SMS,9/8/2024,0,A. Al día,Malos,7/22/2024,167274,Atlántico,Consumo
8/1/2024,38468444,10852633286,Gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,0,Tarde,Número no disponible,0,A. Al dia,127663.9682610722,728,F. Mayor a 932,C. Riesgo Bajo,8,SMS,9/8/2024,0,A. Al día,Buenos,3/25/2024,195558,Caquetá,Consumo
8/1/2024,30715391,13571306023,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,21,Mañana,Cliente no localizado,0,B. 1 - 30 dias,178057.06204100506,29,E. >907 a 932,C. Riesgo Bajo,16,WHATSAPP,9/9/2024,58,D. Mayor a 60 días,Buenos,6/22/2024,351313,Boyacá,Comercial
6/1/2024,1089978538,15519017440,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,3,Tarde,Número no disponible,0,A. Al dia,210276.07763931784,881,E. >907 a 932,A. Riesgo Alto,5,TEL,8/18/2024,0,A. Al día,Buenos,4/13/2024,254682,Sucre,Comercial
6/1/2024,128408990,9630843926,Gestionado,TEL,Contacto,Acuerdo,Cumplimiento,2,Tarde,Ausencia de datos,0,A. Al dia,85882.69622143131,924,C. >82 a 124,B. Riesgo Medio,9,SMS,8/3/2024,0,A. Al día,Buenos,7/29/2024,446947,Huila,Consumo
6/1/2024,1027456839,18951846697,No gestionado,TEL,Contacto,Acuerdo,Cumplimiento,11,Tarde,Ausencia de datos,146,A. Al dia,127958.43281812336,733,E. >907 a 932,C. Riesgo Medio,10,SMS,7/9/2024,195,A. Al día,Buenos,6/19/2024,47134,Atlántico,Vivienda
7/1/2024,46980762,12660294427,Gestionado,EMAIL,Contacto,Acuerdo,No cumplimiento,0,Mañana,Ausencia de datos,0,A. Al dia,114850.55626752273,913,C. >875 a 882,A. Riesgo Alto,19,WHATSAPP,8/5/2024,10,A. Al día,Buenos,5/4/2024,541997,Nariño,Comercial
6/1/2024,115392172,12049111979,Gestionado,WHATSAPP,Contacto,Acuerdo,No cumplimiento,0,Tarde,Ausencia de datos,1,A. Al dia,325185.9853092077,895,A. Hasta 42,C. Riesgo Bajo,17,SMS,7/16/2024,4,A. Al día,Buenos,5/26/2024,75292,Quindío,Comercial
7/1/2024,1067199089,15387496937,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,1,B. 1 - 30 dias,91816.10297187514,891,F. Mayor a 932,A. Riesgo Alto,9,SMS,9/3/2024,0,A. Al día,Buenos,5/26/2024,70492,La Guajira,Vivienda
7/1/2024,92427779,10557949438,No gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,3,Mañana,Número no disponible,63,A. Al dia,144854.4603391107,86,F. Mayor a 873,A. Riesgo Alto,2,WHATSAPP,9/15/2024,0,C. 31 - 60 días,Buenos,5/12/2024,96027,Risaralda,Consumo
7/1/2024,1032074811,9687190564,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Ausencia de datos,91,A. Al dia,70664.09053,903,A. Hasta 672,B. Riesgo Alto,6,SMS,9/13/2024,0,A. Al día,Malos,6/29/2024,228504,San Andrés y Providencia,Vivienda
7/1/2024,0,11148422173,No gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,2,Mañana,Ausencia de datos,0,A. Al dia,198205.288,440,F. Mayor a 932,C. Riesgo Bajo,23,SMS,9/3/2024,0,A. Al día,Buenos,7/24/2024,194385,Cesar,Consumo
6/1/2024,46130493,15595237674,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,13,Noche,Cliente no localizado,0,D. Mayor a 60 dias,41321.03652054045,735,F. Mayor a 932,A. Riesgo Alto,24,WHATSAPP,7/15/2024,147,A. Al día,Malos,4/13/2024,194915,Magdalena,Vivienda
7/1/2024,20242449,12728273547,Gestionado,SMS,Contacto,No acuerdo,Cumplimiento,11,Tarde,Ausencia de datos,3,B. 1 - 30 dias,70290.90519,875,E. >907 a 932,C. Riesgo Bajo,8,SMS,7/9/2024,0,A. Al día,Buenos,5/13/2024,125305,Cundinamarca,Comercial
6/1/2024,44192576,11103161860,No gestionado,TEL,Contacto,Acuerdo,Cumplimiento,6,Noche,Ausencia de datos,137,A. Al dia,12195.40910339568,843,B. >843 a 875,C. Riesgo Bajo,10,TEL,9/17/2024,0,A. Al día,Buenos,4/25/2024,116990,Arauca,Comercial
6/1/2024,1106323174,12129134378,No gestionado,TEL,Contacto,No acuerdo,Cumplimiento,1,Mañana,Número no disponible,0,A. Al dia,126118.04303681212,973,C. >762 a 806,C. Riesgo Medio,20,EMAIL,9/3/2024,3,A. Al día,Malos,4/16/2024,244469,Casanare,Vivienda
8/1/2024,1072252616,12380372616,Gestionado,TEL,Contacto,Acuerdo,No cumplimiento,0,Tarde,Cliente no localizado,0,A. Al dia,145132.21671919376,79,E. >164 a 238,B. Riesgo Medio,7,TEL,9/12/2024,0,A. Al día,Buenos,7/10/2024,267290,Atlántico,Consumo
6/1/2024,1114966863,11115369456,Gestionado,EMAIL,Contacto,Acuerdo,Cumplimiento,0,Mañana,Otros motivos,1,A. Al dia,100257.77567906084,871,D. >124 a 164,C. Riesgo Bajo,1,WHATSAPP,7/4/2024,0,A. Al día,Buenos,8/11/2024,204198,Magdalena,Vivienda
8/1/2024,1047035376,11669076788,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,3,Tarde,Número no disponible,0,A. Al dia,77401.97718540388,811,A. Hasta 843,C. Riesgo Bajo,7,WHATSAPP,9/14/2024,0,B. 1 - 30 días,Buenos,7/1/2024,92215,Meta,Vivienda
6/1/2024,125368839,11515128646,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,11,Tarde,Ausencia de datos,0,A. Al dia,91314.61996400951,902,A. Hasta 843,B. Riesgo Medio,9,TEL,7/15/2024,0,A. Al día,Malos,5/19/2024,266161,Risaralda,Consumo
7/1/2024,0,12020734211,Gestionado,WHATSAPP,Contacto,Acuerdo,No cumplimiento,0,Noche,Ausencia de datos,1,A. Al dia,167437.79068708437,830,E. >549 a 614,C. Riesgo Bajo,3,SMS,8/1/2024,67,A. Al día,Buenos,7/29/2024,173395,Atlántico,Comercial
7/1/2024,953706226,23674975605,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,0,Mañana,Cliente no localizado,0,A. Al dia,50849.49347,716,B. >843 a 875,A. Riesgo Muy Alto,17,EMAIL,8/9/2024,26,A. Al día,Buenos,6/28/2024,209613,Cundinamarca,Comercial
6/1/2024,1024020717,13943635264,Gestionado,TEL,Contacto,Acuerdo,No cumplimiento,4,Mañana,Ausencia de datos,0,A. Al dia,250848.88832625063,927,D. >882 a 907,C. Riesgo Bajo,3,EMAIL,7/12/2024,1,D. Mayor a 60 días,Malos,6/7/2024,93625,Risaralda,Consumo
8/1/2024,999565952,12976789871,Gestionado,SMS,Contacto,Acuerdo,No cumplimiento,0,Mañana,Ausencia de datos,0,A. Al dia,121039.96714921854,924,F. Mayor a 932,A. Riesgo Alto,19,EMAIL,9/11/2024,2,A. Al día,Buenos,7/28/2024,189879,Atlántico,Vivienda
8/1/2024,1064633780,10127889376,Gestionado,SMS,Contacto,Acuerdo,No cumplimiento,9,Mañana,Ausencia de datos,15,D. Mayor a 60 dias,37774.31518181505,913,F. Mayor a 932,A. Riesgo Alto,22,SMS,8/10/2024,3,D. Mayor a 60 días,Malos,6/30/2024,97174,Putumayo,Consumo
8/1/2024,34586972,80839400540,No gestionado,WHATSAPP,Contacto,Acuerdo,Cumplimiento,5,Mañana,Ausencia de datos,124,B. 1 - 30 dias,202586.6351358877,545,E. >847 a 873,B. Riesgo Medio,17,WHATSAPP,8/5/2024,0,A. Al día,Buenos,12/17/2023,396190,Casanare,Vivienda
7/1/2024,1055582438,12415893122,Gestionado,SMS,Contacto,Acuerdo,Cumplimiento,1,Noche,Cliente no localizado,1,A. Al dia,318692.8556956552,895,D. >882 a 907,B. Riesgo Medio,18,WHATSAPP,9/14/2024,1,A. Al día,Buenos,6/6/2024,380873,Cauca,Consumo
